Unnamed: 0,time,lat,lon,seconds,0,Description
0,2019-10-11 11:40:00,4.63688191,-74.08395934,35,0,"Biblioteca silenciosa, llamadas de aves"
1,2019-10-11 11:40:35,4.63694236,-74.08449305,41,0,"Oficina tranquila, lluvias moderadas"
2,2019-10-11 11:41:16,4.6367038,-74.08437741,297,0,"Oficina tranquila, lluvias moderadas"
3,2019-10-11 11:46:13,4.636407900000001,-74.08483259999998,48,0,Conversacion normal
4,2019-10-11 11:47:01,4.636560500000001,-74.08473659999999,37,0,Conversacion normal
5,2019-10-11 11:47:38,4.636507,-74.0847827,31,0,Conversacion normal
6,2019-10-11 11:48:09,4.63672157,-74.08468319,32,0,Conversacion normal
7,2019-10-11 11:48:41,4.6365539,-74.08473409999998,38,0,Conversacion normal
8,2019-10-11 11:49:19,4.636476,-74.0847928,41,0,Conversacion normal
9,2019-10-11 11:50:00,4.6363769,-74.0848311,31,0,Conversacion normal
10,2019-10-11 11:50:31,4.6364644,-74.0848244,42,0,"Trafico Ocupado, aspirador"
11,2019-10-11 11:51:13,4.6363316,-74.0849189,47,0,"Trafico Ocupado, aspirador"
12,2019-10-11 11:52:00,4.6364036,-74.0848464,35,0,"Trafico Ocupado, aspirador"
13,2019-10-11 11:52:35,4.63679964,-74.08460187,33,0,"Trafico Ocupado, aspirador"
14,2019-10-11 11:53:08,4.63674853,-74.08454232,57,0,"Trafico Ocupado, aspirador"
15,2019-10-11 11:54:05,4.63667911,-74.08451855,37,0,"Trafico Ocupado, aspirador"
16,2019-10-11 11:54:42,4.636364,-74.084886,32,0,"Trafico Ocupado, aspirador"
17,2019-10-11 11:55:14,4.6363028,-74.08492059999998,31,0,"Trafico Ocupado, aspirador"
18,2019-10-11 11:55:45,4.6365105,-74.0847505,30,0,"Trafico Ocupado, aspirador"
19,2019-10-11 11:56:15,4.6363495000000015,-74.08483249999998,36,0,"Trafico Ocupado, aspirador"
20,2019-10-11 11:56:51,4.6364756,-74.0848048,49,0,"Trafico Ocupado, aspirador"
21,2019-10-11 11:57:40,4.6363666,-74.0848573,31,0,"Trafico Ocupado, aspirador"
22,2019-10-11 11:58:11,4.636416099999999,-74.0848527,49,0,"Trafico Ocupado, aspirador"
23,2019-10-11 11:59:00,4.636541,-74.0847397,36,0,"Trafico Ocupado, aspirador"
24,2019-10-11 11:59:36,4.6365277,-74.0847363,39,0,"Trafico Ocupado, aspirador"
25,2019-10-11 12:00:15,4.6364612,-74.0848007,45,0,"Trafico Ocupado, aspirador"
26,2019-10-11 12:01:00,4.636346499999998,-74.0848794,31,0,"Trafico Ocupado, aspirador"
27,2019-10-11 12:01:31,4.636485,-74.0847948,51,0,"Trafico Ocupado, aspirador"
28,2019-10-11 12:02:22,4.636392,-74.0848171,38,0,"Trafico Ocupado, aspirador"
29,2019-10-11 12:03:00,4.6363981,-74.0848319,31,0,"Trafico Ocupado, aspirador"
30,2019-10-11 12:03:31,4.636320099999999,-74.0848745,31,0,"Trafico Ocupado, aspirador"
31,2019-10-11 12:04:02,4.6363539000000005,-74.08485470000002,37,0,"Musica de la carga, despertadores"
32,2019-10-11 12:04:39,4.63668609,-74.08451767,31,0,"Musica de la carga, despertadores"
33,2019-10-11 12:05:10,4.6367969,-74.08468,31,0,"Musica de la carga, despertadores"
34,2019-10-11 12:05:41,4.636458599999999,-74.08483100000002,31,0,"Musica de la carga, despertadores"
35,2019-10-11 12:06:12,4.6364608,-74.0848265,39,0,"Musica de la carga, despertadores"
36,2019-10-11 12:06:51,4.63667951,-74.08455753,51,0,"Musica de la carga, despertadores"
37,2019-10-11 12:07:42,4.6365413,-74.08473719999998,30,0,"Musica de la carga, despertadores"
38,2019-10-11 12:08:12,4.6364032,-74.0848276,48,0,"Musica de la carga, despertadores"
39,2019-10-11 12:09:00,4.6364306,-74.08478659999999,31,0,"Musica de la carga, despertadores"
40,2019-10-11 12:09:31,4.6365587,-74.0846583,36,0,"Musica de la carga, despertadores"
41,2019-10-11 12:10:07,4.636581700000002,-74.08469609999999,37,0,"Musica de la carga, despertadores"
42,2019-10-11 12:10:44,4.6363233,-74.0848684,32,0,"Musica de la carga, despertadores"
43,2019-10-11 12:11:16,4.6364221,-74.084825,45,0,"Musica de la carga, despertadores"
44,2019-10-11 12:12:01,4.6364925,-74.08479200000002,30,0,"Musica de la carga, despertadores"
45,2019-10-11 12:12:31,4.6364851,-74.0847921,31,0,"Musica de la carga, despertadores"
46,2019-10-11 12:13:02,4.6364961,-74.084784,31,0,"Musica de la carga, despertadores"
47,2019-10-11 12:13:33,4.6365016,-74.0847349,35,0,"Musica de la carga, despertadores"
48,2019-10-11 12:14:08,4.6366594,-74.08475774,30,0,"Musica de la carga, despertadores"
49,2019-10-11 12:14:38,4.636532,-74.0847455,34,0,"Musica de la carga, despertadores"
50,2019-10-11 12:15:12,4.636533,-74.084745,48,0,"Musica de la carga, despertadores"
51,2019-10-11 12:16:00,4.6365446,-74.0847167,43,0,"Musica de la carga, despertadores"
52,2019-10-11 12:16:43,4.636529,-74.08472320000001,32,0,"Musica de la carga, despertadores"
53,2019-10-11 12:17:15,4.6365542999999985,-74.084714,45,0,"Musica de la carga, despertadores"
54,2019-10-11 12:18:00,4.636546,-74.08475899999998,31,0,"Musica de la carga, despertadores"
55,2019-10-11 12:18:31,4.6365408,-74.0847827,30,0,"Musica de la carga, despertadores"
56,2019-10-11 12:19:01,4.6364939000000005,-74.08479150000002,31,0,"Musica de la carga, despertadores"
57,2019-10-11 12:19:32,4.6363871,-74.0848558,31,0,"Musica de la carga, despertadores"
58,2019-10-11 12:20:03,4.6366107,-74.0847837,35,0,"Musica de la carga, despertadores"
59,2019-10-11 12:20:38,4.63689436,-74.08477948,34,0,"Musica de la carga, despertadores"
60,2019-10-11 12:21:12,4.6364616,-74.084819,48,0,"Musica de la carga, despertadores"
61,2019-10-11 12:22:00,4.6365454,-74.08473609999999,31,0,"Musica de la carga, despertadores"
62,2019-10-11 12:22:31,4.6365442,-74.08474040000002,31,0,"Musica de la carga, despertadores"
63,2019-10-11 12:23:02,4.6363377,-74.0849099,30,0,"Musica de la carga, despertadores"
64,2019-10-11 12:23:32,4.636464299999999,-74.0848223,31,0,"Musica de la carga, despertadores"
65,2019-10-11 12:24:03,4.6365237,-74.0847443,31,0,"Musica de la carga, despertadores"
66,2019-10-11 12:24:34,4.6364105,-74.0848166,36,0,"Musica de la carga, despertadores"
67,2019-10-11 12:25:10,4.6364959,-74.08478709999999,51,0,"Musica de la carga, despertadores"
68,2019-10-11 12:26:01,4.6365032,-74.0847823,30,0,"Musica de la carga, despertadores"
69,2019-10-11 12:26:31,4.6364982,-74.084772,31,0,"Musica de la carga, despertadores"
70,2019-10-11 12:27:02,4.636522,-74.084744,51,0,"Musica de la carga, despertadores"
71,2019-10-11 12:27:53,4.636545,-74.0846703,31,0,"Musica de la carga, despertadores"
72,2019-10-11 12:28:24,4.636548,-74.0847326,36,0,"Musica de la carga, despertadores"
73,2019-10-11 12:29:00,4.6365039,-74.0847678,43,0,"Musica de la carga, despertadores"
74,2019-10-11 12:29:43,4.636513,-74.0847721,45,0,"Musica de la carga, despertadores"
75,2019-10-11 12:30:28,4.6365697,-74.0846588,44,0,"Musica de la carga, despertadores"
76,2019-10-11 12:31:12,4.636542,-74.08478559999998,301,0,"Musica de la carga, despertadores"
77,2019-10-11 12:36:13,4.6364737,-74.08478509999998,33,0,"Musica de la carga, despertadores"
78,2019-10-11 12:36:46,4.6364854000000015,-74.08484770000003,34,0,"Musica de la carga, despertadores"
79,2019-10-11 12:37:20,4.6365049,-74.08484820000002,31,0,"Musica de la carga, despertadores"
80,2019-10-11 12:37:51,4.6364605,-74.0848498,35,0,"Musica de la carga, despertadores"
81,2019-10-11 12:38:26,4.6364386,-74.0848327,34,0,"Musica de la carga, despertadores"
82,2019-10-11 12:39:00,4.6365195,-74.084825,32,0,"Musica de la carga, despertadores"
83,2019-10-11 12:39:32,4.6365197999999985,-74.0848235,31,0,"Musica de la carga, despertadores"
84,2019-10-11 12:40:03,4.6364168,-74.0848327,31,0,"Musica de la carga, despertadores"
85,2019-10-11 12:40:34,4.6363578,-74.0848767,38,0,"Musica de la carga, despertadores"
86,2019-10-11 12:41:12,4.6364383,-74.0848561,35,0,"Musica de la carga, despertadores"
87,2019-10-11 12:41:47,4.6364495,-74.0848364,31,0,"Musica de la carga, despertadores"
88,2019-10-11 12:42:18,4.6364539,-74.0849,31,0,"Musica de la carga, despertadores"
89,2019-10-11 12:42:49,4.6365102999999985,-74.084868,31,0,"Musica de la carga, despertadores"
90,2019-10-11 12:43:20,4.6365027,-74.08484890000003,41,0,"Musica de la carga, despertadores"
91,2019-10-11 12:44:01,4.6365120000000015,-74.0848517,31,0,"Musica de la carga, despertadores"
92,2019-10-11 12:44:32,4.636480799999998,-74.08483249999998,39,0,"Musica de la carga, despertadores"
93,2019-10-11 12:45:11,4.6364556,-74.08483340000002,359,0,"Musica de la carga, despertadores"
94,2019-10-11 12:51:10,4.636506,-74.0848119,360,0,"Musica de la carga, despertadores"
95,2019-10-11 12:57:10,4.6365246,-74.08480990000002,360,0,"Musica de la carga, despertadores"
96,2019-10-11 13:03:10,4.6365235999999985,-74.0848147,360,0,"Musica de la carga, despertadores"
97,2019-10-11 13:09:10,4.636522,-74.08479840000003,296,0,"Musica de la carga, despertadores"
